Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
62,,,,,,transect butte mercator 18,4.61944474,50.66891030,181.504,Global,0.172,0.274,0.464,0.323,1.914,m,SINGLE,NONE,2026-03-11 10:12:30.8 UTC+01:00,2026-03-11 10:12:35.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
63,,,,,,transect butte mercator 19,4.61944165,50.66889153,180.887,Global,0.190,0.396,0.634,0.439,1.914,m,SINGLE,NONE,2026-03-11 10:12:51.6 UTC+01:00,2026-03-11 10:12:56.6 UTC+01:00,26,2.2,2.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
64,,,,,,transect butte mercator 20,4.61943294,50.66886582,180.558,Global,0.233,0.507,0.736,0.557,1.914,m,SINGLE,NONE,2026-03-11 10:13:10.2 UTC+01:00,2026-03-11 10:13:15.2 UTC+01:00,26,2.8,3.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
65,,,,,,transect lampada 1,4.61925654,50.66885526,182.129,Global,0.115,0.191,0.303,0.223,1.914,m,SINGLE,NONE,2026-03-11 10:15:56.8 UTC+01:00,2026-03-11 10:16:01.8 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
66,,,,,,transect lampada 2,4.61926345,50.66887195,182.507,Global,0.133,0.193,0.326,0.235,1.914,m,SINGLE,NONE,2026-03-11 10:16:18.0 UTC+01:00,2026-03-11 10:16:23.0 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
67,,,,,,transect lampada 3,4.61925871,50.66887697,180.087,Global,0.094,0.142,0.233,0.170,1.914,m,SINGLE,NONE,2026-03-11 10:16:42.2 UTC+01:00,2026-03-11 10:16:47.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
68,,,,,,transect lampada 4,4.61925784,50.66890951,181.005,Global,0.099,0.161,0.244,0.190,1.914,m,SINGLE,NONE,2026-03-11 10:17:09.2 UTC+01:00,2026-03-11 10:17:14.2 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
69,,,,,,transect lampada 5,4.61925332,50.66893427,179.778,Global,0.285,0.255,0.417,0.383,1.914,m,SINGLE,NONE,2026-03-11 10:17:39.0 UTC+01:00,2026-03-11 10:17:44.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
70,,,,,,transect lampada 6,4.61925733,50.66894568,180.302,Global,0.152,0.180,0.365,0.235,1.914,m,SINGLE,NONE,2026-03-11 10:18:05.2 UTC+01:00,2026-03-11 10:18:10.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
71,,,,,,transect lampada 7,4.61924184,50.66896478,180.432,Global,0.141,0.194,0.332,0.239,1.914,m,SINGLE,NONE,2026-03-11 10:18:40.4 UTC+01:00,2026-03-11 10:18:45.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
72,,,,,,transect lampada 8,4.61924621,50.66897132,180.429,Global,0.190,0.198,0.306,0.275,1.914,m,SINGLE,NONE,2026-03-11 10:18:59.4 UTC+01:00,2026-03-11 10:19:04.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
73,,,,,,transect lampada 9,4.61925055,50.66898161,179.727,Global,0.201,0.214,0.331,0.293,1.914,m,SINGLE,NONE,2026-03-11 10:19:19.4 UTC+01:00,2026-03-11 10:19:24.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
74,,,,,,transect lampada 10,4.61926897,50.66899278,179.942,Global,0.249,0.231,0.371,0.340,1.914,m,SINGLE,NONE,2026-03-11 10:19:41.2 UTC+01:00,2026-03-11 10:19:46.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
75,,,,,,transect lampada 11,4.61926091,50.66901144,179.875,Global,0.155,0.192,0.304,0.247,1.914,m,SINGLE,NONE,2026-03-11 10:20:04.0 UTC+01:00,2026-03-11 10:20:09.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
76,,,,,,transect lampada 12,4.61926413,50.66902681,181.081,Global,0.123,0.166,0.367,0.206,1.914,m,SINGLE,NONE,2026-03-11 10:20:24.4 UTC+01:00,2026-03-11 10:20:29.4 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
77,,,,,,transect lampada 13,4.61925385,50.66905444,180.287,Global,0.101,0.190,0.330,0.215,1.914,m,SINGLE,NONE,2026-03-11 10:20:51.8 UTC+01:00,2026-03-11 10:20:56.8 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
