Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
52,,,,,,transect butte mercator 8,4.61943217,50.66904759,176.313,Global,0.014,0.027,0.056,0.031,1.914,m,FLOAT,NONE,2026-03-11 10:08:00.0 UTC+01:00,2026-03-11 10:08:05.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
53,,,,,,transect butte mercator 9,4.61943309,50.66902988,176.485,Global,0.013,0.029,0.056,0.031,1.914,m,FLOAT,NONE,2026-03-11 10:08:17.8 UTC+01:00,2026-03-11 10:08:22.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
54,,,,,,transect butte mercator 10,4.61943565,50.66901491,176.156,Global,0.012,0.024,0.052,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:08:59.6 UTC+01:00,2026-03-11 10:09:04.6 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
55,,,,,,transect butte mercator 11,4.61944715,50.66900567,176.082,Global,0.012,0.023,0.052,0.026,1.914,m,FLOAT,NONE,2026-03-11 10:09:17.8 UTC+01:00,2026-03-11 10:09:22.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
56,,,,,,transect butte mercator 12,4.61944844,50.66899322,176.385,Global,0.013,0.024,0.049,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:09:37.4 UTC+01:00,2026-03-11 10:09:42.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
57,,,,,,transect butte mercator 13,4.61944975,50.66898215,176.969,Global,0.010,0.025,0.050,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:10:00.8 UTC+01:00,2026-03-11 10:10:05.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
58,,,,,,transect butte mercator 14,4.61945078,50.66896826,177.188,Global,0.010,0.025,0.047,0.027,1.914,m,FLOAT,NONE,2026-03-11 10:10:18.4 UTC+01:00,2026-03-11 10:10:23.4 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
59,,,,,,transect butte mercator 15,4.61945311,50.66895549,177.529,Global,0.010,0.020,0.045,0.022,1.914,m,FLOAT,NONE,2026-03-11 10:10:50.2 UTC+01:00,2026-03-11 10:10:55.2 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
60,,,,,,transect butte mercator 16,4.61945331,50.66894608,177.335,Global,0.008,0.014,0.016,0.016,1.914,m,FIX,NONE,2026-03-11 10:11:38.0 UTC+01:00,2026-03-11 10:11:43.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
61,,,,,,transect butte mercator 17,4.61945244,50.66892609,177.897,Global,0.009,0.019,0.039,0.021,1.914,m,FLOAT,NONE,2026-03-11 10:12:10.0 UTC+01:00,2026-03-11 10:12:15.0 UTC+01:00,26,1.7,2.1,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
62,,,,,,transect butte mercator 18,4.61945209,50.66891049,177.882,Global,0.011,0.018,0.038,0.021,1.914,m,FLOAT,NONE,2026-03-11 10:12:30.8 UTC+01:00,2026-03-11 10:12:35.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
